key,n,m,objective,method,obj,lb,gap,opt,time
CL01_020_01_m2_total_cost,20,2,total_cost,bigm,657.9999984842839,358.0,45.59270504184496,False,1202.5573477745056
CL01_020_01_m2_total_cost,20,2,total_cost,bigmle,669.9990000017541,648.0000000000001,3.2834377367274263,False,1200.3489437103271
CL01_020_01_m2_total_cost,20,2,total_cost,bendm,655.9999911111097,655.9999911111097,0.0,True,3.8684115409851074
CL01_020_01_m2_total_cost,20,2,total_cost,package,656.0,648.0,1.2195121951219512,False,1102.252004623413
CL01_020_01_m2_makespan,20,2,makespan,bigm,30.9999999968,22.0,29.03225805719042,False,1200.9483799934387
CL01_020_01_m2_makespan,20,2,makespan,bigmle,30.999999032257826,29.454545454545453,4.985334277282424,False,1200.9424192905426
CL01_020_01_m2_makespan,20,2,makespan,bendm,30.999999111111062,30.999999111111062,0.0,True,3.9477500915527344
CL01_020_01_m2_makespan,20,2,makespan,package,31.0,29.466666666666665,4.94623655913979,False,1100.7614023685455
CL01_020_01_m3_total_cost,20,3,total_cost,bigm,663.9999786884174,289.99999999999994,56.325299803046725,False,1204.8923494815826
CL01_020_01_m3_total_cost,20,3,total_cost,bigmle,665.9999929049459,648.0000000000001,2.70270166617176,False,1200.426302433014
CL01_020_01_m3_total_cost,20,3,total_cost,bendm,651.9999962597403,651.9999962597403,0.0,True,10.729126930236816
CL01_020_01_m3_total_cost,20,3,total_cost,package,656.0,648.0,1.2195121951219512,False,1100.6820573806765
CL01_020_01_m3_makespan,20,3,makespan,bigm,22.99999999759996,17.99999999999987,21.739130426616697,False,1200.7997107505798
CL01_020_01_m3_makespan,20,3,makespan,bigmle,22.999999299999285,21.6,6.086953663513055,False,1200.7320656776428
CL01_020_01_m3_makespan,20,3,makespan,bendm,22.99999916666665,22.99999916666665,0.0,True,4.392854928970337
CL01_020_01_m3_makespan,20,3,makespan,package,23.0,21.600000000000005,6.086956521739109,False,1100.7536752223969
CL01_020_02_m2_total_cost,20,2,total_cost,bigm,435.99998199063486,349.99999999999994,19.724767326362453,False,1204.239379644394
CL01_020_02_m2_total_cost,20,2,total_cost,bigmle,437.9999785024355,433.00000000000006,1.1415476593242917,False,1200.4147818088531
CL01_020_02_m2_total_cost,20,2,total_cost,bendm,434.0,434.0,0.0,True,25.67501640319824
CL01_020_02_m2_total_cost,20,2,total_cost,package,436.0,433.0,0.6880733944954129,False,1100.8703362941742
