key,n,m,objective,obj_off,obj_on,gain_pct,eg_strips,repairs
N1a_m2_total_cost,17,2,total_cost,43200.0,43200.0,0.0,0,0
N1a_m2_makespan,17,2,makespan,132.0,132.0,0.0,0,0
N1c_m2_total_cost,17,2,total_cost,42600.0,43000.0,-0.9389671361502347,0,0
N1c_m2_makespan,17,2,makespan,117.0,117.0,0.0,0,0
N1e_m2_total_cost,17,2,total_cost,43200.0,43800.0,-1.3888888888888888,0,0
N1e_m2_makespan,17,2,makespan,104.0,105.0,-0.9615384615384616,0,0
N2a_m2_total_cost,25,2,total_cost,42200.0,42200.0,0.0,0,0
N2a_m2_makespan,25,2,makespan,137.0,137.0,0.0,0,0
N2c_m2_total_cost,25,2,total_cost,43440.0,43520.0,-0.1841620626151013,0,0
N2c_m2_makespan,25,2,makespan,112.0,112.0,0.0,0,0
N2e_m2_total_cost,25,2,total_cost,42800.0,43000.0,-0.46728971962616817,0,0
N2e_m2_makespan,25,2,makespan,101.0,101.0,0.0,0,0
N3a_m2_total_cost,29,2,total_cost,43200.0,43200.0,0.0,0,0
N3a_m2_makespan,29,2,makespan,104.0,104.0,0.0,0,0
N3c_m2_total_cost,29,2,total_cost,43000.0,43000.0,0.0,0,0
N3c_m2_makespan,29,2,makespan,108.0,108.0,0.0,0,0
N3e_m2_total_cost,29,2,total_cost,43800.0,43800.0,0.0,0,0
N3e_m2_makespan,29,2,makespan,119.0,119.0,0.0,0,0
N4a_m2_total_cost,49,2,total_cost,42400.0,42400.0,0.0,0,0
N4a_m2_makespan,49,2,makespan,98.0,98.0,0.0,0,0
N4c_m2_total_cost,49,2,total_cost,42600.0,42600.0,0.0,0,0
N4c_m2_makespan,49,2,makespan,102.0,102.0,0.0,0,0
N4e_m2_total_cost,49,2,total_cost,43200.0,43200.0,0.0,0,0
N4e_m2_makespan,49,2,makespan,108.0,108.0,0.0,0,0
N5a_m2_total_cost,73,2,total_cost,41840.0,42000.0,-0.3824091778202677,0,0
N5a_m2_makespan,73,2,makespan,98.0,98.0,0.0,0,0
N5c_m2_total_cost,73,2,total_cost,43000.0,43000.0,0.0,0,0
N5c_m2_makespan,73,2,makespan,98.0,98.0,0.0,0,0
N5e_m2_total_cost,73,2,total_cost,42400.0,42400.0,0.0,0,0
N5e_m2_makespan,73,2,makespan,101.0,101.0,0.0,0,0
N6a_m2_total_cost,97,2,total_cost,42800.0,42800.0,0.0,0,0
N6a_m2_makespan,97,2,makespan,99.0,98.0,1.0101010101010102,0,0
N6c_m2_total_cost,97,2,total_cost,41800.0,41800.0,0.0,0,0
N6c_m2_makespan,97,2,makespan,96.0,98.0,-2.083333333333333,0,0
N6e_m2_total_cost,97,2,total_cost,43000.0,43200.0,-0.46511627906976744,0,0
N6e_m2_makespan,97,2,makespan,106.0,106.0,0.0,0,0
N7a_m2_total_cost,197,2,total_cost,41400.0,41400.0,0.0,0,0
N7a_m2_makespan,197,2,makespan,96.0,96.0,0.0,0,0
N7c_m2_total_cost,197,2,total_cost,41600.0,41200.0,0.9615384615384616,0,0
N7c_m2_makespan,197,2,makespan,96.0,96.0,0.0,0,0
N7e_m2_total_cost,197,2,total_cost,41600.0,41600.0,0.0,0,0
N7e_m2_makespan,197,2,makespan,102.0,102.0,0.0,0,0
N1a_m3_total_cost,17,3,total_cost,43360.0,43680.0,-0.7380073800738007,0,0
N1a_m3_makespan,17,3,makespan,132.0,132.0,0.0,0,0
N1c_m3_total_cost,17,3,total_cost,42400.0,42400.0,0.0,0,0
N1c_m3_makespan,17,3,makespan,117.0,117.0,0.0,0,0
N1e_m3_total_cost,17,3,total_cost,42720.0,42720.0,0.0,0,0
N1e_m3_makespan,17,3,makespan,86.0,86.0,0.0,0,0
N2a_m3_total_cost,25,3,total_cost,43360.0,43520.0,-0.36900369003690037,0,0
N2a_m3_makespan,25,3,makespan,137.0,137.0,0.0,0,0
N2c_m3_total_cost,25,3,total_cost,43680.0,43680.0,0.0,0,0
N2c_m3_makespan,25,3,makespan,112.0,112.0,0.0,0,0
N2e_m3_total_cost,25,3,total_cost,43680.0,43680.0,0.0,0,0
N2e_m3_makespan,25,3,makespan,96.0,96.0,0.0,0,0
N3a_m3_total_cost,29,3,total_cost,42720.0,42720.0,0.0,0,0
N3a_m3_makespan,29,3,makespan,104.0,104.0,0.0,0,0
N3c_m3_total_cost,29,3,total_cost,41920.0,41920.0,0.0,0,0
N3c_m3_makespan,29,3,makespan,108.0,108.0,0.0,0,0
N3e_m3_total_cost,29,3,total_cost,42240.0,42240.0,0.0,0,0
N3e_m3_makespan,29,3,makespan,119.0,119.0,0.0,0,0
N4a_m3_total_cost,49,3,total_cost,43360.0,42880.0,1.107011070110701,0,0
