key,n,m,objective,obj_off,obj_on,gain_pct,eg_strips,repairs
N1a_m2_total_cost,17,2,total_cost,43680.0,43200.0,1.098901098901099,0,0
N1a_m2_makespan,17,2,makespan,132.0,132.0,0.0,0,0
N1c_m2_total_cost,17,2,total_cost,43000.0,44160.0,-2.697674418604651,0,0
N1c_m2_makespan,17,2,makespan,117.0,117.0,0.0,0,0
N1e_m2_total_cost,17,2,total_cost,43960.0,43800.0,0.3639672429481347,0,0
N1e_m2_makespan,17,2,makespan,105.0,104.0,0.9523809523809524,0,0
N2a_m2_total_cost,25,2,total_cost,42200.0,42400.0,-0.47393364928909953,0,0
N2a_m2_makespan,25,2,makespan,137.0,137.0,0.0,0,0
N2c_m2_total_cost,25,2,total_cost,43440.0,44200.0,-1.7495395948434622,0,0
N2c_m2_makespan,25,2,makespan,112.0,112.0,0.0,0,0
N2e_m2_total_cost,25,2,total_cost,43000.0,43000.0,0.0,0,0
N2e_m2_makespan,25,2,makespan,103.0,101.0,1.9417475728155338,0,0
N3a_m2_total_cost,29,2,total_cost,43600.0,43600.0,0.0,0,0
N3a_m2_makespan,29,2,makespan,104.0,104.0,0.0,0,0
N3c_m2_total_cost,29,2,total_cost,43800.0,44080.0,-0.6392694063926941,0,0
N3c_m2_makespan,29,2,makespan,108.0,108.0,0.0,0,0
N3e_m2_total_cost,29,2,total_cost,43600.0,43400.0,0.45871559633027525,0,0
N3e_m2_makespan,29,2,makespan,119.0,119.0,0.0,0,0
N4a_m2_total_cost,49,2,total_cost,42600.0,42600.0,0.0,0,0
N4a_m2_makespan,49,2,makespan,99.0,98.0,1.0101010101010102,0,0
N4c_m2_total_cost,49,2,total_cost,42600.0,42600.0,0.0,0,0
N4c_m2_makespan,49,2,makespan,102.0,102.0,0.0,0,0
N4e_m2_total_cost,49,2,total_cost,43840.0,44200.0,-0.8211678832116789,0,0
N4e_m2_makespan,49,2,makespan,108.0,108.0,0.0,0,0
N5a_m2_total_cost,73,2,total_cost,42000.0,42200.0,-0.4761904761904762,0,0
N5a_m2_makespan,73,2,makespan,98.0,98.0,0.0,0,0
N5c_m2_total_cost,73,2,total_cost,43000.0,43000.0,0.0,0,0
N5c_m2_makespan,73,2,makespan,98.0,96.0,2.0408163265306123,0,0
N5e_m2_total_cost,73,2,total_cost,42600.0,42800.0,-0.4694835680751174,0,0
N5e_m2_makespan,73,2,makespan,101.0,101.0,0.0,0,0
N6a_m2_total_cost,97,2,total_cost,43200.0,42800.0,0.9259259259259258,0,0
N6a_m2_makespan,97,2,makespan,100.0,99.0,1.0,0,0
N6c_m2_total_cost,97,2,total_cost,42200.0,42000.0,0.47393364928909953,0,0
N6c_m2_makespan,97,2,makespan,98.0,99.0,-1.0204081632653061,0,0
N6e_m2_total_cost,97,2,total_cost,43400.0,42800.0,1.3824884792626728,0,0
N6e_m2_makespan,97,2,makespan,106.0,106.0,0.0,0,0
N7a_m2_total_cost,197,2,total_cost,41800.0,41600.0,0.4784688995215311,0,0
N7a_m2_makespan,197,2,makespan,96.0,97.0,-1.0416666666666665,0,0
N7c_m2_total_cost,197,2,total_cost,42000.0,41800.0,0.4761904761904762,0,0
N7c_m2_makespan,197,2,makespan,98.0,97.0,1.0204081632653061,0,0
N7e_m2_total_cost,197,2,total_cost,41800.0,42200.0,-0.9569377990430622,0,0
N7e_m2_makespan,197,2,makespan,102.0,102.0,0.0,0,0
N1a_m3_total_cost,17,3,total_cost,43680.0,43680.0,0.0,0,0
N1a_m3_makespan,17,3,makespan,132.0,132.0,0.0,0,0
N1c_m3_total_cost,17,3,total_cost,42400.0,42400.0,0.0,0,0
N1c_m3_makespan,17,3,makespan,117.0,117.0,0.0,0,0
N1e_m3_total_cost,17,3,total_cost,42720.0,43520.0,-1.8726591760299627,0,0
N1e_m3_makespan,17,3,makespan,86.0,86.0,0.0,0,0
N2a_m3_total_cost,25,3,total_cost,44000.0,43680.0,0.7272727272727273,0,0
N2a_m3_makespan,25,3,makespan,137.0,137.0,0.0,0,0
N2c_m3_total_cost,25,3,total_cost,43680.0,44000.0,-0.7326007326007326,0,0
N2c_m3_makespan,25,3,makespan,112.0,112.0,0.0,0,0
N2e_m3_total_cost,25,3,total_cost,43680.0,43680.0,0.0,0,0
N2e_m3_makespan,25,3,makespan,96.0,96.0,0.0,0,0
N3a_m3_total_cost,29,3,total_cost,44000.0,44000.0,0.0,0,0
N3a_m3_makespan,29,3,makespan,104.0,104.0,0.0,0,0
N3c_m3_total_cost,29,3,total_cost,42400.0,42400.0,0.0,0,0
N3c_m3_makespan,29,3,makespan,108.0,108.0,0.0,0,0
N3e_m3_total_cost,29,3,total_cost,42720.0,43200.0,-1.1235955056179776,0,0
N3e_m3_makespan,29,3,makespan,119.0,119.0,0.0,0,0
N4a_m3_total_cost,49,3,total_cost,43840.0,43040.0,1.824817518248175,0,0
N4a_m3_makespan,49,3,makespan,86.0,86.0,0.0,0,0
N4c_m3_total_cost,49,3,total_cost,42720.0,42560.0,0.37453183520599254,0,0
N4c_m3_makespan,49,3,makespan,102.0,102.0,0.0,0,0
N4e_m3_total_cost,49,3,total_cost,42560.0,42720.0,-0.37593984962406013,0,0
N4e_m3_makespan,49,3,makespan,108.0,108.0,0.0,0,0
N5a_m3_total_cost,73,3,total_cost,42400.0,42400.0,0.0,0,0
N5a_m3_makespan,73,3,makespan,94.0,94.0,0.0,0,0
N5c_m3_total_cost,73,3,total_cost,42560.0,42560.0,0.0,0,0
N5c_m3_makespan,73,3,makespan,96.0,96.0,0.0,0,0
N5e_m3_total_cost,73,3,total_cost,42080.0,42560.0,-1.1406844106463878,0,0
N5e_m3_makespan,73,3,makespan,101.0,101.0,0.0,0,0
N6a_m3_total_cost,97,3,total_cost,42080.0,41920.0,0.38022813688212925,0,0
N6a_m3_makespan,97,3,makespan,80.0,80.0,0.0,0,0
N6c_m3_total_cost,97,3,total_cost,42080.0,41920.0,0.38022813688212925,0,0
N6c_m3_makespan,97,3,makespan,86.0,86.0,0.0,0,0
N6e_m3_total_cost,97,3,total_cost,41760.0,41920.0,-0.38314176245210724,0,0
N6e_m3_makespan,97,3,makespan,106.0,106.0,0.0,0,0
N7a_m3_total_cost,197,3,total_cost,41280.0,41280.0,0.0,0,0
N7a_m3_makespan,197,3,makespan,72.0,72.0,0.0,0,0
N7c_m3_total_cost,197,3,total_cost,41760.0,41120.0,1.532567049808429,0,0
N7c_m3_makespan,197,3,makespan,74.0,74.0,0.0,0,0
N7e_m3_total_cost,197,3,total_cost,41440.0,41440.0,0.0,0,0
N7e_m3_makespan,197,3,makespan,102.0,102.0,0.0,0,0
